순위,이름(팀명),경기,승,패,세이브,이닝,타자,타수,피안타,피홈,희생,4구,사구,삼진,실점,자책,투구,S,방어율
401,소민욱(안산공고),23,0,0,0,4,19,11,2,0,2,3,3,1,2,2,74,0,4.5
401,윤현구(장안고),17,0,0,0,2,9,8,2,0,0,1,0,1,1,1,35,0,4.5
401,마준혁(충훈고),14,0,0,0,2,11,9,2,0,0,2,0,2,1,1,38,0,4.5
401,윤영석(원주고),14,0,1,0,4,23,15,3,0,1,4,3,2,3,2,79,0,4.5
405,하윤래(상원고),18,0,1,0,6,27,18,3,1,2,6,1,1,5,3,84,0,4.508
406,성민종(배명고),23,1,0,0,4,22,12,1,0,1,8,1,3,3,2,100,0,4.511
407,임현찬(영선고),16,0,1,0,15.2,75,61,16,0,4,7,3,16,11,8,269,0,4.607
408,황민(제주고),17,1,0,0,9.2,44,29,3,0,2,9,4,8,5,5,183,0,4.658
409,김한결(장충고),19,2,0,0,15.1,71,58,17,0,5,7,1,9,12,8,261,0,4.7
410,지영준(야탑고),23,0,0,0,5.2,29,22,6,0,0,2,5,7,3,3,90,0,4.77
411,신효승(경북고),27,2,1,0,26.1,117,93,23,1,5,13,4,36,16,14,451,0,4.793
412,오주영(세광고),20,1,0,0,18.2,92,78,24,0,3,9,2,15,10,10,341,0,4.823
413,김경묵(상원고),18,0,2,0,9.1,46,41,16,1,1,0,2,5,8,5,164,0,4.828
414,박윤수(성지고),16,0,0,0,3.2,22,15,4,0,0,3,4,3,3,2,82,0,4.918
414,김재현(배명고),23,0,0,0,3.2,20,13,2,0,1,5,1,2,4,2,70,0,4.918
414,김민수(대전제일고),15,0,0,0,3.2,22,17,5,0,0,5,0,2,4,2,84,0,4.918
414,황병준(인상고),17,0,1,0,7.1,36,30,7,0,0,5,1,4,7,4,106,0,4.918
418,고명성(군산상고),24,0,1,0,9,39,26,6,0,3,7,3,5,8,5,147,0,5.011
419,김민재(야탑고),23,0,1,0,5.1,27,21,7,1,2,3,1,6,3,3,104,0,5.066
420,정영웅(군산상고),24,1,0,0,17.2,75,61,15,0,2,6,6,11,10,10,204,0,5.096
421,정현욱(율곡고),25,0,0,0,5,21,18,4,1,0,2,1,3,3,3,74,0,5.4
422,김동찬(영문고),13,0,0,0,3.1,14,10,2,0,0,2,2,2,2,2,51,0,5.405
423,최재익(북일고),16,0,0,0,11.2,60,42,13,0,1,14,3,6,9,7,226,0,5.408
424,김태원(군산상고),24,1,1,0,21.2,97,81,23,1,1,11,4,15,15,13,370,0,5.409
425,박지환(경기고),19,1,1,0,6.2,37,27,7,0,1,4,2,6,5,4,135,0,5.414
426,박성역(진흥고),20,0,0,0,3.1,15,13,5,0,1,1,0,2,5,2,51,0,5.422
426,이희윤(포항제철고),21,0,0,0,3.1,16,11,5,0,3,2,0,1,2,2,41,0,5.422
428,고훈(영문고),13,0,0,0,1.2,10,9,4,0,0,1,0,2,4,1,35,0,5.455
429,노학준(물금고),13,0,1,0,8,36,28,8,0,2,4,2,7,5,5,133,0,5.625
430,양학종(동산고),24,1,0,0,14.1,68,56,16,0,2,6,4,6,11,9,222,0,5.656
431,이준학(진영고),16,0,0,0,11,56,45,17,0,2,8,1,7,10,7,207,0,5.732
431,고영선(송탄제일고),18,2,2,0,11,43,34,7,1,1,7,1,5,7,7,177,0,5.732
433,김근휘(대구고),14,0,0,0,4.2,20,16,5,0,0,3,1,3,4,3,82,0,5.794
434,천승호(배명고),23,1,1,0,12.1,58,40,10,0,2,12,3,4,8,8,215,0,5.844
435,김학성(진흥고),20,0,1,0,12.1,66,38,11,0,3,23,1,4,8,8,299,0,5.849
436,이규민(서울디자인고),17,0,0,0,7.2,35,31,13,0,2,2,0,8,6,5,125,0,5.875
437,임형진(군산상고),24,2,1,0,18.1,82,70,18,0,3,8,1,9,13,12,278,0,5.895
