순위,이름,경기,타율,타석,타수,안타,2루타,3루타,홈런,타점,득점,사사구,삼진,출루율,장타율,도루
82,임동혁(진흥고),20,0.343,87,70,24,5,0,2,11,17,15,16,0.453,0.5,8
83,김우종(광주제일고),20,0.342,89,73,25,6,1,0,14,12,12,5,0.425,0.452,12
83,정원휘(배명고),23,0.342,93,76,26,3,2,0,11,6,12,10,0.422,0.434,1
83,한금조(청원고),17,0.342,46,38,13,0,1,0,3,5,5,4,0.409,0.395,4
86,석진영(도개고),14,0.341,51,44,15,2,0,0,5,9,6,7,0.412,0.386,6
87,장준환(유신고),21,0.34,68,50,17,8,1,1,10,16,15,5,0.485,0.6,3
87,최태성(장안고),17,0.34,65,50,17,4,1,0,5,15,14,6,0.484,0.46,1
89,정은원(인천고),20,0.338,90,71,24,5,4,0,5,22,18,6,0.467,0.521,5
89,김차민(장안고),17,0.338,70,65,22,5,1,0,17,13,5,11,0.386,0.446,4
89,조일현(포항제철고),21,0.338,98,68,23,6,0,0,11,24,26,13,0.516,0.426,7
92,김정우(동산고),24,0.337,97,83,28,5,0,0,12,13,11,17,0.406,0.398,2
93,전찬수(광천고),1,0.333,4,3,1,1,0,0,1,0,1,1,0.5,0.667,1
93,장동현(부산공고),14,0.333,56,48,16,7,2,0,14,5,3,5,0.365,0.563,1
93,윤민석(군산상고),24,0.333,98,72,24,2,4,1,15,18,20,11,0.463,0.514,14
93,김석훈(청주고),14,0.333,62,54,18,5,0,1,4,11,7,3,0.41,0.481,0
93,고명성(군산상고),24,0.333,103,84,28,5,3,0,15,16,16,13,0.436,0.464,10
93,예진원(경남고),30,0.333,131,99,33,8,2,0,17,26,28,13,0.48,0.455,9
93,박승철(화순고),17,0.333,68,60,20,4,1,0,14,7,6,10,0.388,0.433,0
93,염승헌(동산고),24,0.333,77,60,20,3,1,0,7,8,12,9,0.438,0.417,2
93,장동호(청주고),14,0.333,51,42,14,0,1,0,5,5,5,5,0.396,0.381,0
93,김태경(광천고),1,0.333,3,2,0,0,0,0,0,0,1,1,0.5,0.333,0
103,강동권(마산용마고),28,0.33,136,112,37,6,0,0,12,19,18,16,0.42,0.384,11
104,황수려(동산고),24,0.329,85,70,23,6,0,2,9,16,11,18,0.42,0.5,1
104,추진호(안산공고),23,0.329,105,76,25,8,0,0,12,13,25,13,0.49,0.434,3
106,김기훈(동성고),29,0.328,72,64,21,2,5,2,19,13,7,8,0.389,0.609,3
106,김수홍(율곡고),25,0.328,69,58,19,5,0,0,14,9,9,7,0.412,0.414,0
106,윤광현(마산고),15,0.328,71,58,19,3,1,0,10,16,11,4,0.435,0.414,12
106,선현빈(화순고),17,0.328,76,64,21,1,2,0,9,10,8,13,0.397,0.406,4
110,홍진혁(포항제철고),21,0.327,72,55,18,0,1,0,10,11,13,9,0.449,0.364,7
111,강영민(중앙고),16,0.326,52,43,14,4,0,0,3,7,9,9,0.442,0.419,1
111,장두성(동산고),24,0.326,103,86,28,2,2,0,9,17,16,12,0.427,0.395,22
111,송인환(유신고),21,0.326,55,46,15,0,1,0,5,8,6,14,0.404,0.37,6
111,강병찬(영문고),13,0.326,52,46,15,1,0,0,2,4,3,5,0.36,0.348,2
115,김태우(대구고),14,0.324,50,37,12,2,1,0,4,3,10,4,0.458,0.432,2
115,김경훈(동성고),29,0.324,89,71,23,2,2,0,9,14,12,9,0.422,0.408,2
117,장대성(군산상고),24,0.323,103,96,31,3,4,1,31,13,5,14,0.353,0.469,4
117,김대한(휘문고),17,0.323,77,65,21,7,1,0,14,9,10,9,0.408,0.462,3
119,곽빈(배명고),23,0.321,88,81,26,3,2,3,14,15,6,13,0.364,0.519,2
119,이주형(소래고),18,0.321,65,53,17,5,0,1,15,6,9,14,0.4,0.472,1
119,주성원(개성고),16,0.321,63,53,17,4,0,1,8,10,9,6,0.419,0.453,3
119,한구연(대전고),23,0.321,91,78,25,5,1,1,12,14,13,17,0.418,0.449,7
123,고민성(신흥고),16,0.32,64,50,16,6,3,0,7,10,14,9,0.469,0.56,3
123,손종호(부경고),15,0.32,62,50,16,4,1,0,6,15,10,9,0.433,0.44,0
123,최현진(경주고),16,0.32,74,50,16,3,0,0,6,12,20,13,0.5,0.38,2
126,손민규(경북고),27,0.319,123,94,30,3,3,2,19,19,20,15,0.435,0.479,16
127,박상준(세광고),20,0.318,80,66,21,4,1,1,10,16,11,7,0.41,0.455,1
127,정영웅(광주제일고),20,0.318,79,66,21,3,2,0,3,17,11,10,0.41,0.424,8
129,황영묵(충훈고),14,0.317,66,63,20,1,4,1,11,12,3,3,0.348,0.508,6
129,최상민(북일고),16,0.317,79,63,20,2,2,0,6,11,12,9,0.421,0.413,11
129,김성헌(백송고),17,0.317,48,41,13,1,1,0,4,6,6,7,0.404,0.39,4
129,한김미르(설악고),19,0.317,81,63,20,2,1,0,9,11,15,9,0.443,0.381,1
129,김지찬(송탄제일고),18,0.317,73,63,20,1,1,0,8,13,8,5,0.394,0.365,22
134,이인혁(덕수고),30,0.316,101,76,24,2,1,0,11,25,22,17,0.469,0.368,10
135,박준호(제주고),17,0.315,63,54,17,3,1,0,6,9,6,5,0.377,0.407,1
135,심주형(마산고),15,0.315,64,54,17,4,0,0,13,7,5,7,0.367,0.389,1
135,허태욱(공주고),15,0.315,71,54,17,0,1,0,6,14,13,6,0.435,0.352,10
138,홍대인(세광고),20,0.314,68,51,16,4,2,0,4,7,12,7,0.438,0.471,1
138,권석민(원주고),14,0.314,59,51,16,1,3,0,1,5,4,7,0.364,0.451,2
138,김태원(중앙고),16,0.314,40,35,11,0,1,0,1,5,4,3,0.385,0.371,1
141,정상혁(글로벌선진학교),14,0.313,40,32,10,1,2,0,2,3,5,4,0.405,0.469,1
141,이상혁(마산용마고),28,0.313,124,99,31,7,1,1,19,20,20,12,0.421,0.434,3
141,이제안(안산공고),23,0.313,92,64,20,4,0,0,8,12,23,8,0.489,0.375,2
141,공민규(인천고),20,0.313,86,64,20,2,0,0,9,14,22,10,0.488,0.344,7
145,염민욱(배명고),23,0.312,100,93,29,2,3,0,10,13,5,17,0.347,0.398,1
146,박준형(북일고),16,0.311,68,45,14,3,1,0,14,10,19,5,0.5,0.422,3
146,강민준(경기고),19,0.311,53,45,14,4,0,0,9,5,6,10,0.385,0.4,0
146,윤병권(청원고),17,0.311,72,61,19,1,0,0,11,10,10,11,0.403,0.328,3
149,조효원(공주고),15,0.31,67,58,18,2,0,2,13,9,6,14,0.369,0.448,6
149,강연규(북일고),16,0.31,64,42,13,1,1,0,8,6,18,4,0.5,0.381,2
149,강민성(물금고),13,0.31,57,42,13,1,1,0,6,7,12,7,0.446,0.381,10
152,유준혁(청원고),17,0.309,76,55,17,1,0,0,7,12,16,9,0.458,0.327,7
153,권영호(경남고),30,0.308,140,107,33,9,4,0,25,23,28,26,0.452,0.467,5
153,임지훈(군산상고),24,0.308,82,65,20,3,2,0,12,20,14,15,0.42,0.415,0
155,정문근(서울고),31,0.306,127,111,34,7,5,1,24,14,10,28,0.352,0.486,4
155,오승현(경기고),19,0.306,80,62,19,3,1,1,16,9,16,11,0.438,0.435,2
155,최지효(장안고),17,0.306,56,36,11,1,1,0,9,11,14,7,0.49,0.389,3
155,전정배(동성고),29,0.306,134,108,33,2,3,0,9,23,22,10,0.423,0.38,17
155,류승범(설악고),19,0.306,77,72,22,3,1,0,8,10,2,13,0.316,0.375,4
155,양승혁(서울고),31,0.306,144,98,30,2,2,0,16,27,25,13,0.444,0.367,13
155,김영훈(배명고),23,0.306,73,62,19,1,1,0,5,6,7,14,0.377,0.355,6
162,노시환(경남고),30,0.305,127,105,32,7,1,4,25,25,14,18,0.38,0.505,2
162,오혜성(성남고),18,0.305,73,59,18,1,3,0,11,7,10,15,0.4,0.424,2
162,김상휘(상원고),18,0.305,70,59,18,1,2,0,5,6,9,11,0.397,0.39,2
162,석지훈(북일고),16,0.305,74,59,18,1,0,0,8,14,9,7,0.391,0.322,6
166,최현준(경북고),27,0.304,118,92,28,5,1,2,12,24,18,18,0.411,0.446,14
166,최현유(소래고),18,0.304,56,46,14,0,2,0,8,10,7,5,0.382,0.391,1
166,이지담(부천고),17,0.304,58,46,14,3,0,0,5,7,9,12,0.411,0.37,0
166,김정현(포항제철고),21,0.304,87,69,21,4,0,0,15,15,15,13,0.429,0.362,1
166,양우현(충암고),25,0.304,104,79,24,2,1,0,15,14,19,12,0.434,0.354,16
166,안창호(배재고),18,0.304,71,56,17,0,1,0,4,12,13,14,0.429,0.339,14
166,전승우(신흥고),16,0.304,65,56,17,0,0,0,7,6,5,8,0.355,0.304,3
173,이용진(진흥고),20,0.303,91,76,23,1,2,0,7,20,13,16,0.404,0.368,15
173,곽운용(글로벌선진학교),14,0.303,39,33,10,1,0,0,3,2,4,11,0.368,0.333,2
175,김재엽(김해고),13,0.302,53,43,13,2,3,0,11,6,7,9,0.377,0.488,8
175,설재성(부산정보고),15,0.302,58,43,13,4,1,0,3,7,8,15,0.412,0.442,3
175,유민후(율곡고),25,0.302,108,86,26,5,3,0,18,18,17,13,0.413,0.43,0
175,이상민(김해고),13,0.302,50,43,13,1,2,0,3,6,7,17,0.4,0.419,5
175,석현수(강원고),14,0.302,52,43,13,4,0,0,4,4,9,10,0.423,0.395,1
180,윤영수(덕수고),30,0.301,87,73,22,3,2,0,21,8,7,8,0.345,0.397,6
180,장지환(서울고),31,0.301,134,113,34,5,2,0,16,22,11,21,0.363,0.381,13
182,정준영(포항제철고),21,0.3,86,70,21,4,1,1,19,11,11,4,0.386,0.429,0
182,이한별(휘문고),17,0.3,76,60,18,2,2,0,5,13,12,7,0.417,0.4,4
182,최준우(장충고),19,0.3,82,60,18,4,1,0,11,15,22,5,0.488,0.4,12
182,성원준(인천고),20,0.3,85,70,21,3,0,1,17,17,11,15,0.386,0.386,5
182,신희룡(공주고),15,0.3,57,40,12,1,1,0,5,8,16,10,0.491,0.375,0
182,신철민(울산공고),13,0.3,37,30,9,0,1,0,2,2,3,6,0.364,0.367,4
182,권영준(포항제철고),21,0.3,89,60,18,2,1,0,14,14,25,14,0.494,0.367,0
182,구승회(백송고),17,0.3,52,40,12,2,0,0,8,4,11,10,0.442,0.35,3
182,김윤범(인창고),14,0.3,51,40,12,0,0,0,0,6,9,6,0.429,0.3,4
191,고정현(경북고),27,0.299,113,97,29,6,5,0,13,21,6,16,0.333,0.464,2
191,남영재(덕수고),30,0.299,124,97,29,6,2,0,20,25,19,22,0.403,0.402,7
191,박준수(대전고),23,0.299,98,77,23,3,1,0,16,13,12,8,0.38,0.364,2
194,배성렬(경북고),27,0.298,106,94,28,5,0,3,24,8,7,19,0.337,0.447,2
194,박명헌(전주고),16,0.298,59,47,14,2,2,0,3,6,10,13,0.414,0.426,4
194,문후현(청원고),17,0.298,63,57,17,1,3,0,5,9,5,6,0.355,0.421,0
194,김영훈(경주고),16,0.298,66,57,17,1,3,0,7,8,5,12,0.344,0.421,0
198,이강석(유신고),21,0.296,61,54,16,0,1,0,3,15,7,6,0.377,0.333,7
199,최민우(부경고),15,0.295,56,44,13,3,0,0,4,12,11,7,0.436,0.364,4
199,박수종(충암고),25,0.295,110,88,26,3,1,0,13,22,18,11,0.407,0.352,10
201,지강혁(동성고),29,0.294,125,102,30,6,2,0,11,15,16,3,0.39,0.392,5
202,강민재(도개고),14,0.293,56,41,12,1,2,0,5,11,14,3,0.473,0.415,1
203,이재원(서울고),31,0.292,136,106,31,11,2,3,26,28,28,31,0.434,0.519,6
203,김태연(장충고),19,0.292,81,65,19,3,1,0,12,13,14,9,0.418,0.369,1
203,서지원(청주고),14,0.292,56,48,14,3,0,0,8,8,7,9,0.382,0.354,2
203,노윤수(광주제일고),20,0.292,57,48,14,1,1,0,0,5,9,15,0.404,0.354,2
207,이성원(장안고),17,0.291,74,55,16,5,0,2,18,9,18,15,0.459,0.491,0
208,조원빈(경주고),16,0.29,70,62,18,6,2,1,7,8,2,10,0.313,0.5,3
208,강동우(화순고),17,0.29,75,62,18,4,1,0,9,7,8,18,0.356,0.387,1
208,김동규(포항제철고),21,0.29,93,62,18,4,0,0,9,17,20,15,0.452,0.355,1
211,양원중(덕수고),30,0.289,100,83,24,2,4,0,15,13,14,16,0.392,0.41,3
211,김동혁(제물포고),16,0.289,51,45,13,2,1,0,3,4,2,9,0.313,0.378,3
211,이영우(대구고),14,0.289,62,45,13,2,1,0,3,12,12,4,0.439,0.378,2
211,최정원(청주고),14,0.289,57,45,13,0,0,0,3,7,5,10,0.36,0.289,10
215,이원석(충암고),25,0.287,102,87,25,4,5,0,14,15,14,11,0.382,0.448,12
215,정보근(경남고),30,0.287,125,101,29,7,0,2,15,16,17,16,0.383,0.416,2
217,유현인(진흥고),20,0.286,76,63,18,3,2,1,12,12,11,2,0.392,0.444,3
217,유정연(율곡고),25,0.286,119,84,24,6,2,1,13,21,18,15,0.408,0.44,4
217,김재국(강원고),14,0.286,57,49,14,1,3,0,4,5,7,11,0.368,0.429,1
217,김태훈(강릉고),17,0.286,78,63,18,0,2,1,8,11,10,14,0.384,0.397,3
217,이준규(포항제철고),21,0.286,53,42,12,2,0,0,7,6,8,13,0.385,0.333,4
217,오정환(경기고),19,0.286,84,63,18,0,1,0,3,18,20,12,0.452,0.317,12
223,박원진(충암고),25,0.284,96,81,23,4,2,0,10,17,14,14,0.389,0.383,2
224,장현빈(부천고),17,0.283,62,53,15,2,2,0,6,10,7,12,0.367,0.396,3
224,김태민(부산고),15,0.283,63,46,13,2,0,1,8,11,15,9,0.452,0.391,2
224,최진영(충훈고),14,0.283,55,46,13,5,0,0,4,8,8,17,0.389,0.391,2
224,정준호(충암고),25,0.283,74,60,17,4,1,0,10,11,13,8,0.405,0.383,5
224,이인한(강릉고),17,0.283,76,60,17,0,1,1,12,9,14,14,0.419,0.367,0
224,김민수(대전제일고),15,0.283,62,53,15,2,1,0,3,10,9,7,0.387,0.358,7
224,김정윤(제주고),17,0.283,69,53,15,2,1,0,5,7,15,13,0.441,0.358,5
231,이동희(대구고),14,0.282,52,39,11,3,1,1,13,9,11,8,0.431,0.487,0
231,조항연(대전고),23,0.282,85,71,20,5,1,0,10,5,5,23,0.325,0.38,1
231,김우진(영선고),16,0.282,48,39,11,0,1,0,2,7,8,12,0.396,0.333,4
231,김지훈(도개고),14,0.282,51,39,11,1,0,0,1,5,10,6,0.429,0.308,6
235,이재경(장안고),17,0.281,73,57,16,2,1,0,14,16,15,8,0.425,0.351,8
236,박경식(효천고),17,0.28,69,50,14,7,2,0,8,10,19,12,0.478,0.5,3
236,최준서(휘문고),17,0.28,64,50,14,4,0,0,8,12,13,18,0.429,0.36,2
236,홍순욱(경동고),18,0.28,70,50,14,1,1,0,4,9,17,15,0.463,0.34,5
236,최민석(도개고),14,0.28,56,50,14,3,0,0,7,3,5,5,0.345,0.34,0
236,이영운(장충고),19,0.28,60,50,14,0,1,0,12,9,8,11,0.373,0.32,1
241,김성훈(백송고),17,0.279,48,43,12,3,0,1,5,4,4,15,0.333,0.419,1
242,신준우(대구고),14,0.277,57,47,13,2,1,0,13,4,8,10,0.375,0.362,1
242,정상훈(상원고),18,0.277,76,65,18,2,1,0,11,4,5,14,0.319,0.338,6
242,최민규(상원고),18,0.277,58,47,13,0,0,0,5,1,7,5,0.37,0.277,3
245,김한별(배재고),18,0.276,76,58,16,2,0,0,8,11,13,8,0.408,0.31,4
246,최영기(영선고),16,0.275,65,51,14,5,3,0,10,7,13,15,0.415,0.49,1
246,박동주(충암고),25,0.275,88,69,19,3,2,0,13,11,16,21,0.402,0.377,5
246,박수용(영문고),13,0.275,46,40,11,1,0,1,6,6,6,4,0.37,0.375,4
246,홍의성(안산공고),23,0.275,60,51,14,3,0,0,6,5,6,5,0.351,0.333,1
246,유진혁(장충고),19,0.275,83,69,19,3,0,0,17,12,12,12,0.378,0.319,0
246,이명준(서울디자인고),17,0.275,71,51,14,0,0,0,3,10,11,15,0.397,0.275,6
252,송재혁(경남고),30,0.273,102,77,21,3,0,1,16,30,20,9,0.418,0.351,3
252,이현(북일고),16,0.273,80,55,15,1,1,0,5,14,15,5,0.423,0.327,6
252,강동형(배명고),23,0.273,81,66,18,1,1,0,5,5,10,18,0.368,0.318,1
252,이태겸(개성고),16,0.273,46,44,12,1,0,0,2,2,2,8,0.304,0.295,2
256,김상범(백송고),17,0.271,73,59,16,1,2,1,6,9,12,12,0.394,0.407,7
256,권민수(원주고),14,0.271,55,48,13,0,1,0,6,7,5,8,0.34,0.313,5
256,이주형(경기고),19,0.271,56,48,13,0,1,0,6,5,5,14,0.333,0.313,0
256,이준(휘문고),17,0.271,74,59,16,1,0,0,13,6,8,9,0.348,0.288,1
260,송승환(서울고),31,0.27,110,89,24,3,3,3,20,15,16,26,0.381,0.472,0
261,강민성(경북고),27,0.269,96,78,21,5,3,0,19,17,16,19,0.385,0.41,2
261,김창평(광주제일고),20,0.269,87,67,18,1,3,0,14,14,16,9,0.395,0.373,16
261,김규성(공주고),15,0.269,62,52,14,3,1,0,15,8,10,15,0.387,0.365,2
261,김유빈(소래고),18,0.269,55,52,14,4,0,0,3,5,3,9,0.309,0.346,1
261,하선우(마산고),15,0.269,65,52,14,2,1,0,2,8,8,6,0.361,0.346,1
261,한경빈(동산고),24,0.269,101,93,25,2,2,0,14,8,6,11,0.31,0.333,2
267,김지운(물금고),13,0.268,54,41,11,1,0,0,10,8,13,13,0.444,0.293,0
267,홍인택(공주고),15,0.268,48,41,11,1,0,0,3,3,4,10,0.333,0.293,0
269,조현준(물금고),13,0.267,50,45,12,1,3,0,3,8,2,7,0.292,0.422,2
269,권정호(배재고),18,0.267,80,60,16,1,1,2,11,11,15,18,0.403,0.417,6
269,최동욱(경주고),16,0.267,40,30,8,4,0,0,4,4,7,6,0.405,0.4,0
272,이승재(휘문고),17,0.266,81,64,17,1,0,0,6,9,16,15,0.413,0.281,1
273,어준혁(제주고),17,0.265,62,49,13,4,1,1,9,13,12,16,0.41,0.449,4
273,김형준(세광고),20,0.265,82,68,18,1,0,3,12,11,14,15,0.39,0.412,2
273,박상우(경동고),18,0.265,85,68,18,2,1,0,12,11,11,16,0.363,0.324,5
273,박석헌(진영고),16,0.265,41,34,9,0,0,0,4,1,6,10,0.375,0.265,1
277,최정혁(대전제일고),15,0.263,61,57,15,4,2,0,6,7,4,10,0.311,0.404,0
277,전성재(야탑고),23,0.263,87,76,20,6,1,0,11,12,6,15,0.317,0.368,5
277,조우섭(개성고),16,0.263,70,57,15,3,0,0,5,10,12,9,0.391,0.316,3
277,전보국(물금고),13,0.263,44,38,10,0,0,0,1,5,4,11,0.333,0.263,0
281,성준경(개성고),16,0.262,52,42,11,5,1,0,10,6,10,10,0.404,0.429,1
281,이창용(신흥고),16,0.262,71,65,17,2,0,1,5,8,6,16,0.324,0.338,2
281,공인욱(마산고),15,0.262,73,61,16,0,2,0,13,10,6,11,0.306,0.328,10
281,변인석(군산상고),24,0.262,76,65,17,3,0,0,6,6,5,16,0.306,0.308,1
281,박장희(영문고),13,0.262,49,42,11,1,0,0,3,2,7,14,0.367,0.286,1
281,한정욱(공주고),15,0.262,56,42,11,0,0,0,8,8,7,5,0.367,0.262,4
287,허준혁(경기고),19,0.261,77,69,18,5,3,1,7,13,5,22,0.303,0.464,5
287,오진우(유신고),21,0.261,57,46,12,3,1,1,4,9,9,15,0.375,0.435,0
287,이동우(경남고),30,0.261,112,88,23,6,0,0,13,21,17,16,0.381,0.33,4
287,강동우(세광고),20,0.261,80,69,18,4,0,0,6,6,10,9,0.354,0.319,9
291,김택우(유신고),21,0.26,65,50,13,2,0,1,8,7,12,10,0.397,0.36,1
291,김윤수(경북고),27,0.26,119,100,26,1,1,2,17,24,14,13,0.342,0.35,10
291,김태선(전주고),16,0.26,66,50,13,0,0,0,2,9,13,9,0.413,0.26,7
294,백현종(경주고),16,0.259,70,54,14,6,0,0,11,7,13,10,0.403,0.37,1
294,황병준(인상고),17,0.259,64,54,14,2,1,0,3,5,9,13,0.365,0.333,5
294,정병진(경주고),16,0.259,68,58,15,2,1,0,5,7,6,7,0.328,0.328,0
294,홍재민(부산고),15,0.259,62,54,14,1,1,0,7,7,5,12,0.322,0.315,2
294,박건호(소래고),18,0.259,74,58,15,0,0,0,13,10,14,12,0.403,0.259,5
299,김영민(선린인고),18,0.258,79,62,16,2,1,0,9,8,14,11,0.39,0.323,3
299,신윤철(부산고),15,0.258,45,31,8,2,0,0,2,3,8,5,0.4,0.323,2
301,박선민(울산공고),13,0.257,47,35,9,2,0,0,5,4,7,8,0.381,0.314,0
301,박세준(울산공고),13,0.257,45,35,9,0,0,0,4,4,6,5,0.357,0.257,0
303,이주호(배명고),23,0.256,98,82,21,4,2,1,9,16,13,15,0.358,0.39,0
303,김민호(동성고),29,0.256,103,86,22,2,4,0,11,13,13,20,0.347,0.372,12
303,서주원(대전고),23,0.256,93,82,21,3,1,1,13,14,7,10,0.308,0.354,9
303,이대한(동산고),24,0.256,96,82,21,6,0,0,6,13,9,14,0.326,0.329,0
307,여성민(부산정보고),15,0.255,54,47,12,6,1,0,11,8,6,8,0.333,0.426,3
307,박범제(설악고),19,0.255,62,47,12,2,2,0,10,5,12,12,0.407,0.383,1
309,진승용(경동고),18,0.254,75,59,15,4,1,0,10,6,12,10,0.38,0.356,0
309,강보형(진흥고),20,0.254,80,67,17,3,0,1,12,10,10,11,0.346,0.343,0
309,조병규(세광고),20,0.254,81,63,16,5,0,0,11,10,16,14,0.4,0.333,0
309,이병국(제물포고),16,0.254,70,63,16,1,1,0,7,8,5,1,0.304,0.302,2
309,박준혁(청원고),17,0.254,75,59,15,2,0,0,8,10,14,15,0.397,0.288,20
309,이동찬(경기고),19,0.254,69,59,15,1,0,0,4,6,5,13,0.308,0.271,2
315,한승민(상우고),15,0.25,61,56,14,3,0,3,5,8,4,12,0.3,0.464,2
315,김정태(청담고),15,0.25,46,40,10,1,2,1,6,4,6,14,0.348,0.45,5
315,김동영(야탑고),23,0.25,77,64,16,6,0,1,13,5,11,10,0.351,0.391,1
315,박건형(경동고),18,0.25,83,72,18,4,0,1,13,11,8,15,0.317,0.347,1
315,신재영(송탄제일고),18,0.25,63,52,13,3,1,0,6,7,8,12,0.35,0.346,7
315,최승현(물금고),13,0.25,52,44,11,1,0,1,7,5,6,16,0.327,0.341,0
315,박준서(성남고),18,0.25,44,36,9,3,0,0,3,3,6,8,0.349,0.333,1
315,노영오(화순고),17,0.25,75,60,15,2,0,1,6,10,11,11,0.356,0.333,1
315,이병헌(제물포고),16,0.25,57,44,11,3,0,0,5,6,12,10,0.411,0.318,0
315,최윤혁(영선고),16,0.25,50,44,11,1,1,0,2,7,5,14,0.327,0.318,6
315,서동욱(효천고),17,0.25,68,48,12,2,0,0,10,9,18,6,0.455,0.292,0
315,김서인(강릉고),17,0.25,69,56,14,2,0,0,5,5,8,13,0.338,0.286,0
315,장재원(선린인고),18,0.25,76,64,16,2,0,0,6,10,5,10,0.3,0.281,5
315,이민영(대전제일고),15,0.25,48,40,10,1,0,0,3,0,5,5,0.333,0.275,1
315,김은섭(진영고),16,0.25,53,40,10,1,0,0,2,6,12,4,0.423,0.275,7
315,김동현(배재고),18,0.25,53,48,12,1,0,0,7,9,3,12,0.294,0.271,5
315,김유준(송탄제일고),18,0.25,55,48,12,1,0,0,8,4,6,14,0.333,0.271,4
315,김현승(전주고),16,0.25,59,48,12,1,0,0,9,1,6,12,0.327,0.271,1
315,박민구(진흥고),20,0.25,85,56,14,1,0,0,12,15,26,8,0.476,0.268,5
315,심세용(선린인고),18,0.25,68,60,15,1,0,0,5,6,8,6,0.338,0.267,2
315,진현빈(영문고),13,0.25,50,44,11,0,0,0,2,3,6,19,0.34,0.25,2
336,전이준(덕수고),30,0.248,124,101,25,9,1,1,19,16,16,28,0.345,0.386,1
337,허진(동성고),29,0.246,70,57,14,3,0,0,7,9,7,8,0.328,0.298,3
337,장용우(상원고),18,0.246,76,65,16,0,1,0,7,12,9,16,0.338,0.277,6
337,정지호(안산공고),23,0.246,85,69,17,2,0,0,13,5,12,10,0.354,0.275,2
337,유정우(서울디자인고),17,0.246,65,57,14,1,0,0,4,5,8,25,0.338,0.263,11
337,김지수(화순고),17,0.246,73,61,15,1,0,0,4,8,11,12,0.361,0.262,1
342,배규열(청담고),15,0.245,59,49,12,2,0,1,7,9,10,9,0.373,0.347,1
342,이웅건(서울디자인고),17,0.245,55,49,12,2,1,0,5,3,5,15,0.309,0.327,4
342,장지훈(성남고),18,0.245,63,49,12,1,1,0,4,6,6,7,0.321,0.306,1
345,신승환(덕수고),30,0.244,123,86,21,1,2,1,15,24,30,29,0.44,0.337,23
346,김진현(영문고),13,0.243,43,37,9,1,0,0,1,3,5,6,0.333,0.27,3
346,한민규(청원고),17,0.243,42,37,9,0,0,0,5,2,5,11,0.333,0.243,4
348,김재혁(제주고),17,0.242,76,66,16,6,1,1,10,8,7,7,0.307,0.409,1
348,유진(성지고),16,0.242,44,33,8,1,1,0,4,2,9,9,0.405,0.333,3
348,윤광해(강릉고),17,0.242,74,62,15,1,1,0,7,3,6,16,0.3,0.29,1
351,구은찬(신일고),22,0.241,90,79,19,2,0,3,17,9,8,19,0.303,0.38,4
351,최지완(글로벌선진학교),14,0.241,61,54,13,3,1,0,6,5,7,13,0.328,0.333,3
351,김신혁(공주고),15,0.241,74,54,13,0,1,0,5,12,14,8,0.397,0.278,11
354,배준하(광주제일고),20,0.24,71,50,12,2,2,0,10,12,15,12,0.415,0.36,3
354,이대훈(북일고),16,0.24,67,50,12,2,2,0,6,12,13,8,0.397,0.36,2
354,이선우(신흥고),16,0.24,62,50,12,1,2,0,9,5,7,16,0.322,0.34,0
354,한준수(동성고),29,0.24,129,100,24,3,0,0,14,14,23,12,0.373,0.27,3
358,김도환(신일고),22,0.239,92,67,16,4,1,1,12,14,23,12,0.433,0.373,7
358,정강원(청주고),14,0.239,51,46,11,3,1,0,7,2,3,11,0.28,0.348,0
358,이윤형(상우고),15,0.239,63,46,11,1,1,0,7,7,13,11,0.4,0.304,9
361,최민혁(설악고),19,0.236,72,55,13,2,2,0,2,9,15,12,0.394,0.345,5
361,이진호(경주고),16,0.236,72,55,13,2,1,0,9,10,13,15,0.377,0.309,11
363,윤수녕(대전고),23,0.235,81,68,16,1,2,0,5,8,8,7,0.316,0.309,5
364,이진석(선린인고),18,0.234,66,47,11,4,2,0,5,10,16,9,0.422,0.404,3
364,양영수(배명고),23,0.234,96,77,18,5,0,1,10,10,13,11,0.341,0.338,6
364,김동형(안산공고),23,0.234,82,64,15,2,2,0,11,13,15,16,0.38,0.328,5
367,양기범(배재고),18,0.233,76,60,14,5,1,0,13,5,9,17,0.329,0.35,4
367,정준호(김해고),13,0.233,52,43,10,4,0,0,8,4,7,12,0.333,0.326,0
369,류승민(개성고),16,0.232,71,56,13,1,1,1,8,10,9,9,0.328,0.339,3
369,유승호(인상고),17,0.232,73,56,13,1,2,0,2,14,16,5,0.403,0.321,16
369,이주영(소래고),18,0.232,64,56,13,1,1,0,12,6,5,3,0.286,0.286,0
369,전경원(성남고),18,0.232,76,56,13,1,0,0,8,11,18,10,0.408,0.25,3
369,채건웅(광주제일고),20,0.232,69,56,13,0,0,0,9,6,7,14,0.313,0.232,7
374,문장은(배재고),18,0.231,82,65,15,3,1,0,6,12,12,17,0.351,0.308,9
374,박현욱(강원고),14,0.231,48,39,9,1,0,0,4,3,8,10,0.362,0.256,0
374,손호원(송탄제일고),18,0.231,51,39,9,1,0,0,4,5,12,15,0.412,0.256,2
377,최일헌(선린인고),18,0.23,76,61,14,4,0,0,7,9,7,8,0.296,0.295,2
377,김성웅(율곡고),25,0.23,90,74,17,3,0,0,8,10,12,10,0.337,0.27,2
379,유주현(강릉고),17,0.229,48,35,8,0,2,0,7,9,8,7,0.372,0.343,0
