순위,이름,경기,타율,타석,타수,안타,2루타,3루타,홈런,타점,득점,사사구,삼진,출루율,장타율,도루
488,김지훈(부경고),15,0.189,48,37,7,1,0,0,4,6,9,9,0.34,0.216,2
488,김관렬(영문고),13,0.189,38,37,7,0,0,0,4,2,0,5,0.189,0.189,0
491,이수승(부산정보고),15,0.186,52,43,8,3,0,0,7,6,7,11,0.3,0.256,6
491,최영민(장안고),17,0.186,54,43,8,3,0,0,8,8,9,12,0.321,0.256,1
491,고명섭(글로벌선진학교),14,0.186,48,43,8,3,0,0,4,5,4,13,0.25,0.256,0
491,박주찬(강원고),14,0.186,49,43,8,1,0,0,1,2,6,7,0.286,0.209,0
495,김민수(경남고),30,0.185,74,54,10,2,1,1,12,10,16,14,0.371,0.315,3
495,송승호(유신고),21,0.185,74,54,10,1,0,0,8,14,15,10,0.352,0.204,1
495,선명성(백송고),17,0.185,67,54,10,0,0,0,6,5,12,12,0.333,0.185,2
498,신준식(제주고),17,0.184,63,49,9,3,0,1,7,9,8,17,0.293,0.306,2
498,문현준(인천고),20,0.184,55,38,7,0,0,1,7,10,12,12,0.373,0.263,7
498,김홍성(중앙고),16,0.184,47,38,7,0,1,0,2,0,9,15,0.34,0.237,1
498,정태원(원주고),14,0.184,47,38,7,1,0,0,4,4,8,13,0.319,0.211,1
498,김우진(야탑고),23,0.184,57,49,9,1,0,0,3,6,6,12,0.273,0.204,3
503,이세직(울산공고),13,0.182,43,33,6,0,0,1,3,4,4,9,0.27,0.273,0
503,이정헌(개성고),16,0.182,41,33,6,1,0,0,4,7,6,7,0.3,0.212,1
503,홍예찬(경동고),18,0.182,66,55,10,0,0,0,4,5,4,11,0.23,0.182,3
506,조동성(부산고),15,0.18,56,50,9,2,0,1,8,6,3,12,0.222,0.28,0
506,이상민(성지고),16,0.18,59,50,9,2,0,0,2,4,7,11,0.281,0.22,1
506,박태민(인상고),17,0.18,59,50,9,0,0,0,3,7,8,10,0.293,0.18,8
509,옥상준(김해고),13,0.179,43,39,7,1,2,0,5,7,4,13,0.256,0.308,3
509,최성현(상원고),18,0.179,71,56,10,1,2,0,4,7,10,8,0.303,0.268,2
509,양종윤(부산공고),14,0.179,46,39,7,2,0,0,5,3,2,10,0.214,0.231,1
512,김효인(부산정보고),15,0.178,58,45,8,2,0,1,7,6,13,10,0.362,0.289,2
