순위,이름,경기,타율,타석,타수,안타,2루타,3루타,홈런,타점,득점,사사구,삼진,출루율,장타율,도루
1022,고영선(송탄제일고),18,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1022,권도엽(개성고),16,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1022,임판홍(부산공고),14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,조기현(청담고),15,0,1,1,0,0,0,0,0,0,0,1,0.25,0,0
1022,천보웅(제물포고),16,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1022,오석(야탑고),23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,김범준(대구고),14,0,9,7,0,0,0,0,0,0,2,4,0.222,0,0
1022,윤성현(군산상고),24,0,8,8,0,0,0,0,0,0,0,5,0,0,0
1022,김민수(경기고),19,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1022,양진우(경북고),27,0,1,1,0,0,0,0,0,3,0,0,0,0,1
1022,이성준(군산상고),24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,이후연(청원고),17,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1022,백현수(대구고),14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,이현민(백송고),17,0,2,2,0,0,0,0,0,0,0,2,0,0,0
1022,홍정표(청원고),17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,박건욱(경북고),27,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1022,이준선(효천고),17,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1022,배기건(원주고),14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,오승윤(동성고),29,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1022,김병현(북일고),16,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1022,방현일(원주고),14,0,2,2,0,0,0,0,0,0,0,1,0,0,0
1022,김재원(원주고),14,0,4,3,0,0,0,0,0,0,0,1,0,0,0
1022,이호연(북일고),16,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1022,이원진(포항제철고),21,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1022,박연웅(대전고),23,0,2,2,0,0,0,0,0,1,0,0,0,0,0
1022,맹성주(배명고),23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,김동찬(영문고),13,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1022,허수빈(청담고),15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,김준근(대구고),14,0,6,4,0,0,0,0,1,1,0,2,0,0,1
1022,신승윤(강릉고),17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,이승헌(마산용마고),28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,남지민(부산정보고),15,0,17,15,0,0,0,0,0,0,1,4,0.063,0,0
