순위,이름(팀명),경기,승,패,세이브,이닝,타자,타수,피안타,피홈,희생,4구,사구,삼진,실점,자책,투구,S,방어율
92,권민수(군산상고),24,6,2,0,44,189,165,47,0,7,9,6,20,22,15,661,0,3.072
93,백승건(인천고),20,2,0,0,37.1,161,119,32,0,10,25,7,24,15,13,622,0,3.137
94,임경목(마산고),15,1,1,0,20,81,74,21,0,5,1,1,17,8,7,295,0,3.153
95,조강희(충훈고),14,0,4,0,28.1,128,102,25,1,6,12,6,19,19,10,454,0,3.179
96,박주현(충암고),25,2,1,0,30.2,136,111,28,0,3,15,7,34,20,11,530,0,3.232
97,김지석(전주고),16,0,4,0,33.1,143,113,23,1,7,12,7,15,16,12,512,0,3.244
98,김태환(신일고),22,8,3,0,72,297,241,51,0,23,24,9,64,33,26,1093,0,3.253
99,하준영(성남고),18,4,2,0,69,285,250,59,1,10,20,5,70,29,25,1087,0,3.263
100,허고겸(인상고),17,0,1,0,30.1,144,122,33,0,3,13,6,23,25,11,528,0,3.265
100,김지헌(장안고),17,1,1,0,30.1,139,111,28,0,6,16,6,19,14,11,495,0,3.265
102,김태범(세광고),20,2,4,0,33,133,123,32,2,3,5,2,31,15,12,502,0,3.276
103,김민규(휘문고),17,2,3,0,38.1,177,140,40,0,9,15,13,50,21,14,667,0,3.289
104,김동하(울산공고),13,1,1,0,13.2,65,53,14,0,3,9,0,8,12,5,215,0,3.297
105,김범수(율곡고),25,8,2,0,87.1,350,316,79,1,13,18,2,87,37,32,1273,0,3.299
106,김윤수(북일고),16,1,2,0,16.1,75,59,16,0,2,9,3,10,14,6,280,0,3.311
107,이지강(소래고),18,3,5,0,59.2,261,208,49,1,11,31,11,47,29,22,920,0,3.32
108,조효준(강릉고),17,1,2,0,18.2,80,74,19,0,2,2,2,9,10,7,252,0,3.38
109,전인철(북일고),16,3,2,0,31.2,135,115,27,1,5,11,4,25,19,12,473,0,3.413
110,박병준(경동고),18,2,3,0,58,254,216,58,0,10,21,6,30,27,22,900,0,3.416
111,이형빈(설악고),19,1,1,0,31.1,144,120,32,3,7,14,1,30,18,12,518,0,3.453
112,한승룡(전주고),16,3,3,0,57.1,239,200,42,0,8,19,12,44,24,22,880,0,3.455
113,김영범(경주고),16,5,3,0,54.2,250,188,39,2,13,29,20,40,24,21,879,0,3.459
114,송현제(배명고),23,1,1,0,26,106,87,17,0,4,8,7,28,11,10,357,0,3.464
115,원도연(원주고),14,4,6,0,67.1,279,241,56,0,14,15,9,43,33,26,954,0,3.477
116,이도현(동산고),24,4,5,0,77.1,335,285,75,3,14,29,5,55,38,30,1229,0,3.493
117,이다운(선린인고),18,0,3,0,25.2,104,81,13,1,4,13,6,22,13,10,421,0,3.509
118,윤강찬(김해고),13,4,4,0,66.1,276,247,64,1,8,6,15,73,36,26,994,0,3.529
119,민승호(충훈고),14,3,1,0,53.1,233,195,46,2,6,26,6,28,26,21,816,0,3.545
120,신동수(제물포고),16,1,2,0,33,145,113,22,0,4,22,6,31,16,13,583,0,3.55
121,박신지(경기고),19,3,3,0,57.1,265,211,54,0,14,30,10,75,34,23,1081,0,3.613
122,김현(상원고),18,4,3,0,47.1,209,167,38,0,9,20,13,35,23,19,789,0,3.614
123,신승윤(강릉고),17,2,3,0,44,204,171,52,1,9,20,4,30,25,18,750,0,3.684
124,김동찬(덕수고),30,1,3,0,36.2,164,125,33,1,4,27,8,26,23,15,642,0,3.689
125,추재현(신일고),22,2,1,0,24,114,81,20,0,4,24,3,27,11,10,444,0,3.755
126,고영찬(인천고),20,2,1,0,28.2,118,100,23,2,7,7,4,19,12,12,387,0,3.772
127,김이수(영문고),13,0,1,0,21.1,109,83,25,0,4,15,7,16,11,9,387,0,3.803
128,김승범(동산고),24,3,0,0,35.1,160,117,23,0,9,31,3,35,17,15,677,0,3.823
129,정민수(화순고),17,4,6,0,63.1,277,233,63,1,16,20,6,28,33,27,938,0,3.838
130,김동제(충암고),25,3,5,0,37.1,178,148,40,0,4,18,6,20,22,16,654,0,3.865
131,박경민(개성고),16,2,2,0,51,220,192,44,1,5,13,10,27,30,22,725,0,3.885
132,이유수(장안고),17,4,0,0,25.1,115,89,18,0,3,15,8,18,12,11,410,0,3.911
133,김성엽(신흥고),16,3,5,0,62,273,222,58,2,12,18,15,45,38,27,927,0,3.923
134,정우석(신일고),22,3,3,0,50.1,217,188,47,0,8,16,5,34,26,22,750,0,3.936
135,이준(포항제철고),21,2,1,0,29.2,128,100,24,2,7,12,9,24,18,13,502,0,3.947
136,한준호(부경고),15,3,3,0,52,239,191,55,0,11,27,8,28,30,23,830,0,3.982
137,박원빈(제물포고),16,1,0,0,20.1,95,70,16,0,2,15,8,13,9,9,355,0,3.988
138,정현찬(부산정보고),15,0,1,0,20.1,109,74,22,0,7,25,3,6,16,9,416,0,3.99
139,김태훈(서울디자인고),17,1,1,0,18,79,63,15,0,4,10,2,15,9,8,304,0,4.002
140,서윤성(청주고),14,2,2,0,49.1,224,182,49,0,17,22,3,35,31,22,792,0,4.015
141,홍정민(울산공고),13,0,1,0,15.2,67,56,13,0,2,6,1,18,8,7,249,0,4.028
142,조성훈(청원고),17,3,4,0,60,262,215,51,2,12,23,12,67,33,27,987,0,4.053
143,이용호(선린인고),18,3,2,0,26.2,116,100,29,1,5,6,5,12,13,12,400,0,4.054
144,우진혁(대전제일고),15,2,4,0,57.2,252,220,66,2,9,20,3,17,32,26,783,0,4.058
145,황귀정(청원고),17,1,3,0,28.1,133,112,41,1,5,8,8,9,23,13,461,0,4.134
146,최영하(물금고),13,0,2,0,19.1,87,72,20,0,2,10,3,11,10,9,334,0,4.19
147,전범진(강원고),14,1,2,0,19.1,93,79,25,0,1,8,5,14,18,9,335,0,4.193
148,위성호(효천고),17,0,0,0,21,92,80,22,1,2,6,4,14,10,10,327,0,4.292
149,김도현(부산공고),14,2,2,0,50,234,190,55,1,8,23,13,34,27,24,898,0,4.322
150,최보성(개성고),16,4,3,0,43.2,192,158,41,2,9,12,8,33,24,21,660,0,4.33
151,박민준(서울디자인고),17,1,4,0,54,252,216,63,0,7,12,17,26,37,26,868,0,4.337
152,이성빈(울산공고),13,0,3,0,27,137,99,24,0,6,24,8,30,15,13,538,0,4.338
153,김대환(율곡고),25,3,2,0,37,162,140,34,0,4,10,8,28,20,18,595,0,4.383
154,서상준(영문고),13,1,3,0,42.1,189,136,19,1,9,38,6,56,23,21,785,0,4.467
155,진우영(글로벌선진학교),14,1,0,0,30,149,124,42,0,5,17,3,11,20,15,538,0,4.502
156,이준재(소래고),18,4,0,0,20,81,71,17,0,2,7,1,12,10,10,281,0,4.505
157,김재원(상우고),15,1,4,0,31.2,148,127,42,0,4,7,10,19,22,16,546,0,4.551
158,김정희(청담고),15,2,1,0,25.2,119,85,21,0,8,19,5,23,21,13,447,0,4.56
159,남궁빈(인상고),17,0,1,0,17.2,86,64,13,0,2,13,7,8,11,9,346,0,4.592
160,조현우(선린인고),18,1,1,0,25.1,121,92,25,2,6,17,6,13,17,13,445,0,4.623
161,백현수(대구고),14,2,1,0,36.2,162,132,34,0,9,14,7,27,21,19,582,0,4.666
162,김태현(포항제철고),21,2,4,0,40.1,181,148,38,1,4,25,4,27,22,21,710,0,4.691
163,윤산흠(영선고),16,2,5,0,55.1,251,198,50,2,10,36,7,48,39,29,931,0,4.721
164,박지승(상우고),15,1,5,0,41.2,181,156,41,2,8,12,5,24,27,22,631,0,4.755
165,전상우(서울디자인고),17,0,6,0,47,220,184,52,0,9,14,13,23,32,25,698,0,4.79
166,최하늘(경기고),19,1,5,0,46.2,225,175,43,0,5,33,12,36,28,25,905,0,4.826
167,김건(율곡고),25,3,1,0,29.2,149,120,38,0,3,23,3,28,17,16,580,0,4.857
168,조민우(송탄제일고),18,2,1,0,38.2,176,140,36,1,9,11,16,23,26,21,583,0,4.893
169,이웅진(유신고),21,3,2,0,22,102,86,28,1,5,7,4,20,16,12,333,0,4.916
170,노휘현(화순고),17,2,1,0,31,141,111,34,2,8,16,4,20,18,17,526,0,4.94
171,홍민기(대전고),23,1,1,0,23.1,106,92,24,1,0,12,1,21,13,13,392,0,5.019
172,이성진(신흥고),16,1,3,0,51.2,224,195,57,1,7,20,2,36,35,29,810,0,5.058
173,강민재(도개고),14,1,0,0,22.2,108,90,27,0,4,11,3,18,16,13,454,0,5.163
174,오도헌(공주고),15,3,4,0,52,243,210,69,1,11,14,8,25,38,30,793,0,5.195
175,권성호(상우고),15,0,4,0,36.1,167,149,46,0,5,10,3,21,30,21,588,0,5.204
176,천준범(제주고),17,3,3,0,36.1,166,142,44,0,6,15,3,16,23,21,596,0,5.205
177,김용하(광주제일고),20,2,2,0,36,168,131,33,0,8,18,11,34,22,21,599,0,5.257
178,조재건(부천고),17,0,1,0,18.2,98,73,17,0,3,22,0,17,20,11,407,0,5.308
179,이상수(경주고),16,1,3,0,38.2,193,157,41,0,7,22,3,23,36,23,707,0,5.359
180,이현준(화순고),17,1,1,0,21.2,112,84,28,0,8,10,10,7,21,13,343,0,5.404
181,윤진모(경동고),18,4,4,0,33.1,160,128,35,2,8,10,8,13,33,20,532,0,5.405
182,최건(장충고),19,1,2,0,34.1,158,133,32,1,2,20,1,38,25,21,685,0,5.512
183,김승진(부산정보고),15,0,3,0,19.1,84,69,18,0,3,6,5,3,13,12,282,0,5.596
184,오동욱(진흥고),20,3,3,0,27.1,128,111,36,0,4,3,10,16,20,17,428,0,5.606
185,양경민(효천고),17,2,5,0,62,286,231,56,2,9,39,5,76,47,39,1027,0,5.665
186,한태일(도개고),14,2,2,0,40.2,197,158,51,3,7,21,11,18,32,26,737,0,5.758
187,김태형(부천고),17,1,1,0,21.2,101,79,22,1,3,13,4,18,16,14,362,0,5.823
188,김성무(백송고),17,1,4,0,34,170,134,36,1,5,21,10,42,34,22,674,0,5.829
189,박준(설악고),19,3,2,0,36.1,167,141,42,0,6,14,6,28,27,24,619,0,5.949
190,김학준(중앙고),16,1,5,0,36,166,139,38,1,5,17,5,22,28,24,574,0,6.007
191,윤정섭(경동고),18,1,1,0,25.1,126,105,34,1,7,6,6,21,20,17,429,0,6.047
192,이대석(강원고),14,0,5,0,54.2,263,207,50,2,8,31,17,61,45,37,942,0,6.094
193,신정호(전주고),16,1,1,0,20.2,108,89,32,1,4,12,3,7,18,14,378,0,6.102
194,나희제(성지고),16,0,1,0,31,160,138,48,0,4,7,11,14,35,22,537,0,6.395
195,오세훈(영선고),16,0,5,0,35,177,132,36,0,9,31,5,30,32,25,688,0,6.438
196,양종윤(부산공고),14,0,5,0,34.2,178,123,32,1,8,40,7,24,28,25,685,0,6.495
197,김서원(충훈고),14,1,3,0,22,109,78,26,1,5,21,5,11,23,16,444,0,6.551
198,양인호(효천고),17,2,3,0,23.1,113,90,31,0,7,6,10,9,21,17,378,0,6.564
199,박종민(김해고),13,1,2,0,13.2,77,55,19,0,1,20,1,11,12,10,263,0,6.598
200,차병진(청담고),15,0,3,0,17.2,107,66,18,1,3,23,15,22,19,13,467,0,6.629
201,조선명(성지고),16,1,10,0,58.1,306,238,82,1,14,43,11,45,68,43,1189,0,6.639
202,김원탁(진흥고),20,1,2,0,23,125,78,13,0,2,30,15,23,23,17,506,0,6.664
203,권동현(부경고),15,1,3,0,20,94,77,28,0,7,6,4,16,16,15,334,0,6.753
204,이주호(광천고),1,0,1,0,5.1,25,20,6,0,0,4,1,2,5,4,104,0,6.754
205,정현준(백송고),17,0,4,0,29.1,148,114,30,2,4,24,4,20,23,22,559,0,6.755
206,조우형(글로벌선진학교),14,0,2,0,20,104,87,37,0,7,5,3,5,21,15,280,0,6.757
207,육재민(부경고),15,0,0,0,21,96,76,21,0,5,13,2,9,17,16,374,0,6.864
208,공기태(글로벌선진학교),14,1,10,0,52,257,208,75,0,15,28,6,28,54,40,892,0,6.927
209,김현철(진영고),16,0,2,0,16.2,88,76,28,0,0,9,3,9,14,13,344,0,7.027
210,이제민(도개고),14,1,1,0,24.1,123,98,33,0,7,7,11,18,21,19,407,0,7.034
211,김은섭(진영고),16,1,6,0,45.1,228,179,59,0,10,30,7,43,49,36,830,0,7.151
211,이재민(청담고),15,0,2,0,17.2,94,71,22,2,5,12,5,5,24,14,319,0,7.151
213,이재민(상우고),15,0,0,0,16.1,87,64,16,1,2,10,10,16,18,13,302,0,7.174
214,조동민(강원고),14,0,1,0,15,79,54,18,1,6,17,2,9,12,12,308,0,7.205
215,정세진(송탄제일고),18,0,1,0,18.2,92,67,20,0,4,9,12,13,15,15,307,0,7.239
216,양민권(경기고),19,2,1,0,23,121,86,24,0,2,31,2,7,21,19,453,0,7.441
217,최현준(인상고),17,3,6,0,50,265,185,54,0,14,40,26,33,59,42,1025,0,7.566
218,차희준(효천고),17,1,4,0,25.2,133,99,31,1,5,19,8,17,31,22,480,0,7.719
219,박상욱(영문고),13,0,8,0,30.1,155,127,50,1,10,12,6,8,37,26,494,0,7.72
220,서대원(인창고),14,1,4,0,35,176,138,46,2,12,23,3,20,35,30,618,0,7.721
221,천기백(청담고),15,0,5,0,28,152,124,47,0,6,14,8,16,32,24,543,0,7.723
222,최민우(청주고),14,1,3,0,19.2,105,77,27,1,7,16,1,8,19,17,377,0,7.782
223,이규열(청주고),14,0,2,0,14.2,77,56,19,0,4,7,10,10,13,13,286,0,7.986
224,하은휘(개성고),16,1,1,0,21,104,78,23,2,3,20,3,14,22,19,411,0,8.147
225,이주원(중앙고),16,2,6,0,32,171,142,50,1,5,15,9,16,37,29,602,0,8.166
226,최정혁(대전제일고),15,0,5,0,29.2,153,114,37,1,9,23,7,8,31,27,519,0,8.196
227,박바로(대전제일고),15,1,2,0,16,89,67,25,0,2,10,10,4,22,16,294,0,9.006
228,김현식(제주고),17,1,2,0,20.1,104,80,24,0,1,16,7,12,22,21,373,0,9.306
229,경우진(장충고),19,2,0,0,19.1,113,72,17,0,2,29,10,14,27,20,422,0,9.326
230,박상혁(인창고),14,1,3,0,18.1,93,63,19,0,6,18,6,10,19,19,330,0,9.339
231,김어진(강원고),14,0,5,0,19,106,70,22,0,7,20,9,15,24,20,410,0,9.479
232,이상민(성지고),16,0,4,0,16.2,95,69,22,1,2,13,11,4,25,18,347,0,9.741
233,강종흔(부경고),15,0,4,0,18,97,73,26,2,3,11,10,12,24,20,343,0,10.017
